date,totalTested,tested,totalInfected,infected,totalRecovered,recovered,totalDeceased,deceased
2020-03-26,31127,4429,2022,259,10,2,9,3
2020-03-27,36374,5247,2395,373,11,1,9,0
2020-03-28,40700,4326,2657,262,11,0,11,2
2020-03-29,40700,0,2805,148,11,0,16,5
2020-03-30,43498,2798,2976,171,25,14,23,7
2020-03-31,48811,5313,3257,281,45,20,31,8
2020-04-01,55017,6206,3508,251,61,16,39,8
2020-04-02,60990,5973,3805,297,67,6,44,5
2020-04-03,67281,6291,4091,286,72,5,53,9
2020-04-04,74170,6889,4362,271,78,6,59,6
2020-04-05,80304,6134,4543,181,96,18,67,8
2020-04-06,85014,4710,4735,192,121,25,78,11
2020-04-07,91247,6233,4944,209,172,51,88,10
2020-04-08,98681,7434,5221,277,233,61,99,11
2020-04-09,106845,8164,5467,246,301,68,112,13
