date,positive_total,tested_total,deceased_total,recovered_total,positive_daily,recovered_daily,deceased_daily,tested_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-01-27,0,20,0,0,,,,,0,,,,1
2020-01-28,0,28,0,0,0.0,0.0,0.0,8.0,0,,,,1
2020-01-29,0,33,0,0,0.0,0.0,0.0,5.0,0,,,,1
2020-01-30,0,34,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-01-31,0,37,0,0,0.0,0.0,0.0,3.0,0,,,,1
2020-02-01,0,38,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-02-02,0,43,0,0,0.0,0.0,0.0,5.0,0,,,,1
2020-02-03,0,48,0,0,0.0,0.0,0.0,5.0,0,,,,1
2020-02-04,0,53,0,0,0.0,0.0,0.0,5.0,0,,,,1
2020-02-05,0,53,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-06,0,56,0,0,0.0,0.0,0.0,3.0,0,,,,1
2020-02-07,0,62,0,0,0.0,0.0,0.0,6.0,0,,,,1
2020-02-08,0,62,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-09,0,64,0,0,0.0,0.0,0.0,2.0,0,,,,1
2020-02-10,0,72,0,0,0.0,0.0,0.0,8.0,0,,,,1
2020-02-11,0,74,0,0,0.0,0.0,0.0,2.0,0,,,,1
2020-02-12,0,75,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-02-13,0,76,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-02-14,0,76,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-15,0,77,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-02-16,0,78,0,0,0.0,0.0,0.0,1.0,0,,,,1
2020-02-17,0,80,0,0,0.0,0.0,0.0,2.0,0,,,,1
2020-02-18,0,80,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-19,0,82,0,0,0.0,0.0,0.0,2.0,0,,,,1
2020-02-20,0,82,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-21,0,82,0,0,0.0,0.0,0.0,0.0,0,,,,1
2020-02-22,0,83,0,0,0.0,0.0,0.0,1.0,0,,,,1
