date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-15,1708592,1664186,30594,11136750,28155785,1782,829,10,32041,87195,39292535,119236,0.014945150793384548,13812
2021-10-16,1709750,1664514,30602,11154421,28188497,1158,328,8,17671,32712,39342918,50383,0.022983942996645693,14634
2021-10-17,1710545,1664926,30613,11164681,28212943,795,412,11,10260,24446,39377624,34706,0.022906702011179624,15006
2021-10-18,1713079,1666093,30625,11191925,28268623,2534,1167,12,27244,55680,39460548,82924,0.030558101394047563,16361
2021-10-19,1716328,1667014,30635,11225733,28306918,3249,921,10,33808,38295,39532651,72103,0.04506053839646062,18679
2021-10-20,1719607,1668053,30642,11260174,28354473,3279,1039,7,34441,47555,39614647,81996,0.03998975559783404,20912
2021-10-21,1723251,1669040,30652,11302036,28414810,3644,987,10,41862,60337,39716846,102199,0.035655926183230754,23559
2021-10-22,1727490,1670010,30666,11347430,28508061,4239,970,14,45394,93251,39855491,138645,0.030574488802336902,26814
2021-10-23,1730246,1670486,30679,11377510,28543376,2756,476,13,30080,35315,39920886,65395,0.042143894793179905,29081
2021-10-24,1732084,1671021,30699,11394667,28571499,1838,535,20,17157,28123,39966166,45280,0.040591872791519434,30364
2021-10-25,1736369,1672637,30719,11435099,28635927,4285,1616,20,40432,64428,40071026,104860,0.04086400915506389,33013
2021-10-26,1742658,1674011,30735,11496803,28689262,6289,1374,16,61704,53335,40186065,115039,0.05466841679778162,37912
2021-10-27,1748521,1675563,30757,11561083,28768030,5863,1552,22,64280,78768,40329113,143048,0.04098624238018008,42201
2021-10-28,1752877,1677118,30783,11603591,28799950,4356,1555,26,42508,31920,40403541,74428,0.05852636104691783,44976
2021-10-29,1758630,1678921,30809,11648558,28886934,5753,1803,26,44967,86984,40535492,131951,0.043599518002895014,48900
2021-10-30,1763688,1679744,30832,11686609,28919094,5058,823,23,38051,32160,40605703,70211,0.07203999373317571,53112
2021-10-31,1766475,1680706,30863,11711296,28957154,2787,962,31,24687,38060,40668450,62747,0.04441646612587056,54906
2021-11-01,1774085,1684132,30894,11775530,29006339,7610,3426,31,64234,49185,40781869,113419,0.06709634188275333,59059
2021-11-02,1784014,1687337,30929,11835695,29040025,9929,3205,35,60165,33686,40875720,93851,0.10579535646929708,65748
2021-11-03,1793487,1690853,30974,11878539,29078129,9473,3516,45,42844,38104,40956668,80948,0.1170257449226664,71660
2021-11-04,1801955,1694467,31019,11922230,29120191,8468,3614,45,43691,42062,41042421,85753,0.09874873182279337,76469
2021-11-05,1811201,1698606,31076,11972624,29185994,9246,4139,57,50394,65803,41158618,116197,0.07957176174944276,81519
2021-11-06,1816942,1700666,31126,12007734,29222734,5741,2060,50,35110,36740,41230468,71850,0.07990257480862908,85150
2021-11-07,1819951,1702970,31165,12026025,29247606,3009,2304,39,18291,24872,41273631,43163,0.06971248523040567,85816
2021-11-08,1829233,1709506,31213,12075878,29302806,9282,6536,48,49853,55200,41378684,105053,0.08835540155921297,88514
2021-11-09,1843803,1714979,31275,12145162,29342061,14570,5473,62,69284,39255,41487223,108539,0.13423746303172132,97549
2021-11-10,1857344,1721148,31350,12209310,29383621,13541,6169,75,64148,41560,41592931,105708,0.1280981571877247,104846
2021-11-11,1867778,1724148,31421,12273512,29432652,10434,3000,71,64202,49031,41706164,113233,0.0921462824441638,112209
2021-11-12,1882021,1731601,31489,12346637,29498898,14243,7453,68,73125,66246,41845535,139371,0.10219486119781016,118931
2021-11-13,1891200,1735316,31563,12392653,29533419,9179,3715,74,46016,34521,41926072,80537,0.11397245986316848,124321
2021-11-14,1896873,1739042,31625,12421012,29557596,5673,3726,62,28359,24177,41978608,52536,0.10798309730470534,126206
2021-11-15,1908417,1749354,31717,12487875,29617253,11544,10312,92,66863,59657,42105128,126520,0.09124249130572241,127346
2021-11-16,1930932,1758306,31786,12583492,29668055,22515,8952,69,95617,50802,42251547,146419,0.15377102698420286,140840
2021-11-17,1945088,1766898,31868,12645375,29691696,14156,8592,82,61883,23641,42337071,85524,0.16552078948599225,146322
2021-11-18,1958506,1775206,31988,12709658,29742585,13418,8308,120,64283,50889,42452243,115172,0.1165040113916577,151312
2021-11-19,1981467,1784503,32098,12801306,29808333,22961,9297,110,91648,65748,42609639,157396,0.14588045439528324,164866
2021-11-20,1995877,1788197,32191,12867129,29841601,14410,3694,93,65823,33268,42708730,99091,0.14542188493405053,175489
2021-11-21,2004134,1791937,32301,12903221,29867523,8257,3740,110,36092,25922,42770744,62014,0.1331473538233302,179896
2021-11-22,2018633,1807941,32410,12981357,29914179,14499,16004,109,78136,46656,42895536,124792,0.11618533239310212,178282
2021-11-23,2044523,1821138,32523,13086108,29943016,25890,13197,113,104751,28837,43029124,133588,0.19380483276941043,190862
2021-11-24,2062554,1833779,32616,13187560,29970046,18031,12641,93,101452,27030,43157606,128482,0.14033872449059012,196159
2021-11-25,2090478,1846354,32727,13288618,30004639,27924,12575,111,101058,34593,43293257,135651,0.20585178140964683,211397
2021-11-26,2110837,1859596,32844,13388560,30033384,20359,13242,117,99942,28745,43421944,128687,0.1582055685500478,218397
2021-11-27,2123361,1865340,32937,13462982,30041162,12524,5744,93,74422,7778,43504144,82200,0.15236009732360098,225084
2021-11-28,2132661,1871091,33055,13512865,30051311,9300,5751,118,49883,10149,43564176,60032,0.1549173773987207,228515
2021-11-29,2150268,1871716,33157,13599934,30096744,17607,625,102,87069,45433,43696678,132502,0.13288101311678313,245395
