date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active
2021-10-19,1717050,1666625,30635,11221388,28306938,3249,921,10,33805,38295,39528326,72100,0.045062413314840497,19790,5023589.0
2021-10-20,1720328,1667664,30642,11255829,28354493,3278,1039,7,34441,47555,39610322,81996,0.03997755988096981,22022,5026076.0
2021-10-21,1723972,1668651,30652,11297691,28414830,3644,987,10,41862,60337,39712521,102199,0.035655926183230754,24669,5030997.0
2021-10-22,1728210,1669621,30666,11343080,28508081,4238,970,14,45389,93251,39851161,138640,0.030568378534333526,27923,5043724.0
2021-10-23,1730966,1670097,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,30190,5041843.0
2021-10-24,1732805,1670632,30700,11390310,28571519,1839,535,21,17154,28123,39961829,45277,0.04061664862954701,31473,5039895.0
2021-10-25,1737092,1672248,30720,11430738,28635947,4287,1616,20,40428,64428,40066685,104856,0.040884641794460976,34124,5056412.0
2021-10-26,1743382,1673622,30736,11492405,28689282,6290,1374,16,61667,53335,40181687,115002,0.0546947009617224,39024,5072368.0
2021-10-27,1749247,1675174,30757,11556661,28768050,5865,1552,21,64256,78768,40324711,143024,0.04100710370287504,43316,5091406.0
2021-10-28,1753604,1676728,30783,11598896,28799970,4357,1554,26,42235,31920,40398866,74155,0.05875530982401726,46093,5082314.0
2021-10-29,1759361,1678531,30809,11643848,28886954,5757,1803,26,44952,86984,40530802,131936,0.04363479262672811,50021,5100125.0
2021-10-30,1764420,1679354,30833,11681898,28919114,5059,823,24,38050,32160,40601012,70210,0.07205526278307933,54233,5101857.0
2021-10-31,1767212,1680317,30864,11706567,28957174,2792,963,31,24669,38060,40663741,62729,0.04450891931961294,56031,5104021.0
2021-11-01,1774827,1683744,30895,11770799,29006359,7615,3427,31,64232,49185,40777158,113417,0.0671416101642611,60188,5128379.0
2021-11-02,1784767,1686950,30931,11830912,29040045,9940,3206,36,60113,33686,40870957,93799,0.10597127901150333,66886,5152800.0
2021-11-03,1794250,1690470,30976,11873756,29078149,9483,3520,45,42844,38104,40951905,80948,0.11714928101991402,72804,5180985.0
2021-11-04,1802743,1694082,31021,11917447,29120505,8493,3612,45,43691,42356,41037952,86047,0.09870187223261706,77640,5210956.0
2021-11-05,1811998,1698225,31078,11967844,29186327,9255,4143,57,50397,65822,41154171,116219,0.07963413899620544,82695,5244469.0
2021-11-06,1817742,1700288,31130,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,86324,5251290.0
2021-11-07,1820753,1702592,31169,12021245,29247970,3011,2304,39,18291,24899,41269215,43190,0.06971521185459598,86992,5255691.0
2021-11-08,1830040,1709132,31217,12071098,29303586,9287,6540,48,49853,55616,41374684,105469,0.08805430979719159,89691,5281800.0
2021-11-09,1844623,1714618,31280,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,98725,5308751.0
2021-11-10,1858190,1720794,31355,12204540,29384766,13567,6176,75,64151,41846,41589306,105997,0.1279941885147693,106041,5335819.0
2021-11-11,1868641,1723797,31426,12268756,29434149,10451,3003,71,64216,49383,41702905,113599,0.0919990492874057,113418,5364347.0
2021-11-12,1882900,1731071,31494,12341884,29500808,14259,7274,68,73128,66659,41842692,139787,0.1020051936160015,120335,5397555.0
2021-11-13,1892080,1734731,31568,12387903,29535397,9180,3660,74,46019,34589,41923300,80608,0.1138844779674474,125781,5403496.0
2021-11-14,1897776,1738417,31630,12416275,29559633,5696,3686,62,28372,24236,41975908,52608,0.10827250608272507,127729,5407451.0
2021-11-15,1909338,1748575,31723,12483147,29619810,11562,10158,93,66872,60177,42102957,127049,0.09100425819959228,129040,5433547.0
2021-11-16,1931874,1757346,31792,12578788,29671332,22536,8771,69,95641,51522,42250120,147163,0.15313631823216434,142736,5458979.0
2021-11-17,1946061,1765922,31874,12640681,29695281,14187,8576,82,61893,23949,42335962,85842,0.1652687495631509,148265,5451344.0
2021-11-18,1959573,1774111,31994,12705044,29747519,13512,8189,120,64363,52238,42452563,116601,0.11588236807574549,153468,5462794.0
2021-11-19,1982543,1783288,32107,12796709,29813877,22970,9177,113,91665,66358,42610586,158023,0.14535858704112692,167148,5478508.0
2021-11-20,1996957,1786938,32203,12862537,29847231,14414,3650,96,65828,33354,42709768,99182,0.1453287894980944,177816,5476934.0
2021-11-21,2005234,1790676,32316,12898652,29873218,8277,3738,113,36115,25987,42771870,62102,0.13328073169946217,182242,5473544.0
2021-11-22,2019749,1806596,32427,12976812,29921127,14515,15920,111,78160,47909,42897939,126069,0.11513536238091839,180726,5476795.0
2021-11-23,2045660,1819758,32542,13081588,29951131,25911,13162,115,104776,30004,43032719,134780,0.19224662412820892,193360,5483344.0
2021-11-24,2063704,1832375,32635,13183063,29978872,18044,12617,93,101475,27741,43161935,129216,0.1396421495789995,198694,5491025.0
2021-11-25,2091641,1844921,32749,13284131,30014499,27937,12546,114,101068,35627,43298630,136695,0.20437470280551592,213971,5493788.0
2021-11-26,2112019,1858032,32866,13384086,30043867,20378,13111,117,99955,29368,43427953,129323,0.1575744453809454,221121,5503018.0
2021-11-27,2124547,1863787,32961,13458530,30051767,12528,5755,95,74444,7900,43510297,82344,0.1521422325852521,227799,5498478.0
2021-11-28,2133852,1869608,33081,13508423,30062042,9305,5821,120,49893,10275,43570465,60168,0.15465031245844968,231163,5493992.0
2021-11-29,2151466,1891872,33189,13595577,30110207,17614,22264,108,87154,48165,43705784,135319,0.1301664954662686,226405,5500053.0
2021-11-30,2173486,1911008,33309,13709676,30138074,22020,19136,120,114099,27867,43847750,141966,0.15510756096530154,229169,5514878.0
2021-12-01,2194638,1919427,33449,13810312,30163498,21152,8419,140,100636,25424,43973810,126060,0.16779311438997302,241762,5538944.0
2021-12-02,2213256,1939812,33573,13911565,30194247,18618,20385,124,101253,30749,44105812,132002,0.14104331752549204,239871,5566925.0
2021-12-03,2230939,1960279,33692,14011478,30219324,17683,20467,119,99913,25077,44230802,124990,0.14147531802544203,236968,5603950.0
2021-12-04,2241921,1969405,33801,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,238715,5614830.0
2021-12-05,2248254,1977854,33911,14122629,30235396,6333,8449,110,39278,8700,44358025,47978,0.13199799908291301,236489,5620175.0
