date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-10-23,1731217,1669894,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,30644,5042724.0,0.4712043616681603
2021-10-24,1733056,1670429,30700,11390310,28571519,1839,535,21,17154,28123,39961829,45277,0.04061664862954701,31927,5040775.0,0.47102224238086815
2021-10-25,1737343,1672045,30720,11430738,28635947,4287,1616,20,40428,64428,40066685,104856,0.040884641794460976,34578,5057289.0,0.47256535059551324
2021-10-26,1743634,1673419,30736,11492405,28689282,6291,1374,16,61667,53335,40181687,115002,0.054703396462670216,39479,5073247.0,0.47405650482158246
2021-10-27,1749499,1674971,30757,11556661,28768050,5865,1552,21,64256,78768,40324711,143024,0.04100710370287504,43771,5092282.0,0.4758351813909036
2021-10-28,1753856,1676525,30783,11598896,28799970,4357,1554,26,42235,31920,40398866,74155,0.05875530982401726,46548,5083184.0,0.47498504220373866
2021-10-29,1759613,1678328,30809,11643848,28886954,5757,1803,26,44952,86984,40530802,131936,0.04363479262672811,50476,5100997.0,0.47664953212910344
2021-10-30,1764672,1679151,30833,11681898,28919114,5059,823,24,38050,32160,40601012,70210,0.07205526278307933,54688,5102728.0,0.4768112809676374
2021-10-31,1767464,1680114,30864,11706567,28957174,2792,963,31,24669,38060,40663741,62729,0.04450891931961294,56486,5104891.0,0.4770133969339858
2021-11-01,1775079,1683541,30895,11770799,29006359,7615,3427,31,64232,49185,40777158,113417,0.0671416101642611,60643,5129244.0,0.47928900032209604
2021-11-02,1785019,1686747,30931,11830912,29040045,9940,3206,36,60113,33686,40870957,93799,0.10597127901150333,67341,5153661.0,0.481570584025438
2021-11-03,1794502,1690266,30976,11873756,29078149,9483,3519,45,42844,38104,40951905,80948,0.11714928101991402,73260,5181846.0,0.48420425878804985
2021-11-04,1802995,1693878,31021,11917447,29120505,8493,3612,45,43691,42356,41037952,86047,0.09870187223261706,78096,5211819.0,0.487005008607449
2021-11-05,1812251,1698021,31078,11967844,29186327,9256,4143,57,50397,65822,41154171,116219,0.07964274344126175,83152,5245334.0,0.4901367314979559
2021-11-06,1817995,1700084,31130,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,86781,5252158.0,0.4907743826095423
2021-11-07,1821006,1702387,31169,12021245,29247970,3011,2303,39,18291,24899,41269215,43190,0.06971521185459598,87450,5256560.0,0.4911857161665768
2021-11-08,1830293,1708927,31217,12071098,29303586,9287,6540,48,49853,55616,41374684,105469,0.08805430979719159,90149,5282667.0,0.49362521756900746
2021-11-09,1844876,1714413,31280,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,99183,5309618.0,0.49614358437855693
2021-11-10,1858444,1720589,31355,12204540,29384766,13568,6176,75,64151,41846,41589306,105997,0.12800362274403992,106500,5336682.0,0.4986725101821875
2021-11-11,1868897,1723591,31426,12268756,29434149,10453,3002,71,64216,49383,41702905,113599,0.09201665507618906,113880,5365207.0,0.5013379553694681
2021-11-12,1883155,1730864,31494,12341884,29500808,14258,7273,68,73128,66659,41842692,139787,0.10199803987495261,120797,5398415.0,0.5044409914353476
2021-11-13,1892335,1734523,31568,12387903,29535397,9180,3659,74,46019,34589,41923300,80608,0.1138844779674474,126244,5404352.0,0.5049957591155189
2021-11-14,1898033,1738209,31630,12416275,29559633,5698,3686,62,28372,24236,41975908,52608,0.10831052311435523,128194,5408308.0,0.505365417350782
2021-11-15,1909595,1748367,31723,12483147,29619810,11562,10158,93,66872,60177,42102957,127049,0.09100425819959228,129505,5434395.0,0.5078030499047027
2021-11-16,1932131,1757137,31793,12578788,29671332,22536,8770,70,95641,51522,42250120,147163,0.15313631823216434,143201,5459836.0,0.5101803186517528
2021-11-17,1946320,1765713,31875,12640681,29695281,14189,8576,82,61893,23949,42335962,85842,0.16529204818154283,148732,5452200.0,0.5094667922906635
2021-11-18,1959833,1773901,31995,12705044,29747519,13513,8188,120,64363,52238,42452563,116601,0.11589094433152375,153937,5463644.0,0.5105361474080427
2021-11-19,1982803,1783079,32108,12796709,29813877,22970,9178,113,91665,66358,42610586,158023,0.14535858704112692,167616,5479362.0,0.5120048754519927
2021-11-20,1997217,1786729,32204,12862537,29847231,14414,3650,96,65828,33354,42709768,99182,0.1453287894980944,178284,5477786.0,0.5118576101894106
2021-11-21,2005494,1790467,32317,12898652,29873218,8277,3738,113,36115,25987,42771870,62102,0.13328073169946217,182710,5474396.0,0.5115408403669783
2021-11-22,2020010,1806386,32428,12976812,29921127,14516,15919,111,78160,47909,42897939,126069,0.11514329454505072,181196,5477650.0,0.5118449020195431
2021-11-23,2045921,1819548,32543,13081588,29951131,25911,13162,115,104776,30004,43032719,134780,0.19224662412820892,193830,5484196.0,0.5124565761368416
2021-11-24,2063965,1832164,32636,13183063,29978872,18044,12616,93,101475,27741,43161935,129216,0.1396421495789995,199165,5491879.0,0.5131744942919293
2021-11-25,2091902,1844712,32750,13284131,30014499,27937,12548,114,101068,35627,43298630,136695,0.20437470280551592,214440,5494646.0,0.5134330494832774
2021-11-26,2112281,1857822,32868,13384086,30043867,20379,13110,118,99955,29368,43427953,129323,0.15758217795751722,221591,5503878.0,0.5142957099554588
2021-11-27,2124809,1863577,32963,13458530,30051767,12528,5755,95,74444,7900,43510297,82344,0.1521422325852521,228269,5499343.0,0.5138719485558333
2021-11-28,2134114,1869399,33083,13508423,30062042,9305,5822,120,49893,10275,43570465,60168,0.15465031245844968,231632,5494856.0,0.5134526723926316
2021-11-29,2151728,1891662,33191,13595577,30110207,17614,22263,108,87154,48165,43705784,135319,0.1301664954662686,226875,5500915.0,0.5140188400487135
2021-11-30,2173750,1910798,33311,13709676,30138074,22022,19136,120,114099,27867,43847750,141966,0.15512164884549823,229641,5515739.0,0.5154040305642699
2021-12-01,2194904,1919217,33451,13810312,30163498,21154,8419,140,100636,25424,43973810,126060,0.16780897985086468,242236,5539811.0,0.5176533766308156
2021-12-02,2213523,1939603,33576,13911565,30194247,18619,20386,125,101253,30749,44105812,132002,0.14105089316828534,240344,5567797.0,0.5202684563507537
2021-12-03,2231206,1960070,33695,14011478,30219324,17683,20467,119,99913,25077,44230802,124990,0.14147531802544203,237441,5604826.0,0.5237285359244545
2021-12-04,2242188,1969196,33804,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,239188,5615698.0,0.5247444419744497
2021-12-05,2248522,1977645,33914,14122629,30235396,6334,8449,110,39278,8700,44358025,47978,0.1320188419692359,236963,5621040.0,0.5252436114114506
2021-12-06,2264096,2004581,34037,14209891,30275552,15574,26936,123,87262,40156,44485443,127418,0.12222762874947024,225478,5645964.0,0.5275725704245192
2021-12-07,2283625,2029454,34146,14314115,30299206,19529,24873,109,104224,23654,44613321,127878,0.15271586981341592,220025,5683215.0,0.5310533942166801
2021-12-08,2299831,2050233,34258,14402912,30323373,16206,20779,112,88797,24167,44726285,112964,0.14346163379483728,215340,5708815.0,0.5334455203093841
2021-12-09,2314094,2069702,34371,14490515,30352156,14263,19469,113,87603,28783,44842671,116386,0.12254910384410496,210021,5734197.0,0.53581727595333
2021-12-10,2326493,2088766,34491,14577733,30375266,12399,19064,120,87218,23110,44952999,110328,0.11238307591907766,203236,5761578.0,0.5383758230058429
2021-12-11,2335578,2097061,34591,14640412,30382370,9085,8295,100,62679,7104,45022782,69783,0.13018930111918375,203926,5771460.0,0.5392992210545968
2021-12-12,2339705,2104712,34714,14668794,30390678,4127,7651,123,28382,8308,45059472,36690,0.11248296538566367,200279,5772829.0,0.5394271437351011
2021-12-13,2351608,2131727,34828,14751747,30427554,11903,27015,114,82953,36876,45179301,119829,0.09933321650017943,185053,5773934.0,0.5395303976152745
