date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-03-01,1,0,0,,,,1,,,,1
2020-03-02,1,0,0,0.0,0.0,0.0,1,0.0,,,1
2020-03-03,3,0,0,2.0,0.0,0.0,3,2.0,,inf,1
2020-03-04,4,0,0,1.0,0.0,0.0,4,0.3333333333333333,,0.5,1
2020-03-05,6,0,0,2.0,0.0,0.0,6,0.5,,2.0,1
2020-03-06,8,0,0,2.0,0.0,0.0,8,0.3333333333333333,0.6333333333333333,1.0,1
2020-03-07,17,0,0,9.0,0.0,0.0,17,1.125,0.8583333333333332,4.5,1
2020-03-08,21,0,0,4.0,0.0,0.0,21,0.23529411764705882,0.5053921568627451,0.4444444444444444,1
2020-03-09,24,0,0,3.0,0.0,0.0,24,0.14285714285714285,0.467296918767507,0.75,1
2020-03-10,35,0,0,11.0,0.0,0.0,35,0.4583333333333333,0.45896358543417365,3.6666666666666665,1
2020-03-11,43,0,0,8.0,0.0,0.0,43,0.22857142857142856,0.43801120448179276,0.7272727272727273,1
2020-03-12,48,0,0,5.0,0.0,0.0,48,0.11627906976744186,0.23626701843528108,0.625,1
2020-03-13,62,0,0,14.0,0.0,0.0,62,0.2916666666666667,0.24754152823920267,2.8,1
2020-03-14,86,0,0,24.0,0.0,0.0,86,0.3870967741935484,0.29638945450648374,1.7142857142857142,1
2020-03-15,113,0,0,27.0,0.0,0.0,113,0.313953488372093,0.2675134855142357,1.125,1
2020-03-16,144,0,0,31.0,0.0,0.0,144,0.2743362831858407,0.2766664564371181,1.1481481481481481,1
2020-03-17,179,0,0,35.0,0.0,0.0,179,0.24305555555555555,0.30202175359474087,1.1290322580645162,1
2020-03-18,202,0,0,23.0,0.0,0.0,202,0.12849162011173185,0.2693867442837539,0.6571428571428571,1
2020-03-19,237,0,0,35.0,0.0,0.0,237,0.17326732673267325,0.2266208547915789,1.5217391304347827,1
2020-03-20,269,2,0,32.0,2.0,0.0,267,0.1350210970464135,0.19083437652644297,0.9142857142857143,1
2020-03-21,299,3,0,30.0,1.0,0.0,296,0.11152416356877323,0.15827195260302948,0.9375,1
2020-03-22,323,3,1,24.0,0.0,1.0,319,0.0802675585284281,0.125714353197604,0.8,1
2020-03-23,356,4,1,33.0,1.0,0.0,351,0.1021671826625387,0.12044946570776535,1.375,1
2020-03-24,441,5,2,85.0,1.0,1.0,434,0.23876404494382023,0.13354880934999475,2.5757575757575757,1
2020-03-25,520,7,6,79.0,2.0,4.0,507,0.17913832199546487,0.142372254339805,0.9294117647058824,1
2020-03-26,593,9,6,73.0,2.0,0.0,578,0.14038461538461539,0.14814434470297347,0.9240506329113924,1
2020-03-27,677,12,8,84.0,3.0,2.0,657,0.14165261382799327,0.16042135576288646,1.1506849315068493,1
2020-03-28,714,13,11,37.0,1.0,3.0,690,0.05465288035450517,0.1509184953012798,0.44047619047619047,1
2020-03-29,743,14,13,29.0,1.0,2.0,716,0.04061624649859944,0.11128893561223563,0.7837837837837838,1
2020-03-30,814,21,17,71.0,7.0,4.0,776,0.0955585464333782,0.0945729804998183,2.4482758620689653,1
2020-03-31,863,23,20,49.0,2.0,3.0,820,0.060196560196560195,0.07853536946220727,0.6901408450704225,1
2020-04-01,956,31,23,93.0,8.0,3.0,902,0.10776361529548088,0.07175756975570477,1.8979591836734695,1
2020-04-02,1044,40,25,88.0,9.0,2.0,979,0.09205020920502092,0.07923703552580794,0.946236559139785,1
2020-04-03,1133,56,29,89.0,16.0,4.0,1048,0.08524904214559387,0.08816359465520682,1.0113636363636365,1
2020-04-04,1160,74,34,27.0,18.0,5.0,1052,0.02383053839364519,0.07381799304726022,0.30337078651685395,1
2020-04-05,1180,82,37,20.0,8.0,3.0,1061,0.017241379310344827,0.06522695687001714,0.7407407407407407,1
2020-04-06,1234,115,40,54.0,33.0,3.0,1079,0.04576271186440678,0.05282677618380231,2.7,1
2020-04-07,1270,145,43,36.0,30.0,3.0,1082,0.029173419773095625,0.040251418297417255,0.6666666666666666,1
2020-04-08,1321,175,49,51.0,30.0,6.0,1097,0.04015748031496063,0.03123310593129061,1.4166666666666667,1
2020-04-09,1361,229,50,40.0,54.0,1.0,1082,0.03028009084027252,0.03252301642061607,0.7843137254901961,1
2020-04-10,1400,258,56,39.0,29.0,6.0,1086,0.028655400440852314,0.03480582064671757,0.975,1
2020-04-11,1427,294,61,27.0,36.0,5.0,1072,0.019285714285714285,0.029510421130979077,0.6923076923076923,1
2020-04-12,1442,321,64,15.0,27.0,3.0,1057,0.01051156271899089,0.025778049720158132,0.5555555555555556,1
2020-04-13,1451,346,68,9.0,25.0,4.0,1037,0.0062413314840499305,0.018994819953975988,0.6,1
2020-04-14,1461,408,70,10.0,62.0,2.0,983,0.006891798759476223,0.014317161537816727,1.1111111111111112,1
2020-04-15,1486,468,70,25.0,60.0,0.0,948,0.017111567419575632,0.012008394933561392,2.5,1
2020-04-16,1520,547,70,34.0,79.0,0.0,903,0.02288021534320323,0.012727295145059181,1.36,1
2020-04-17,1545,621,71,25.0,74.0,1.0,853,0.01644736842105263,0.01391445628547153,0.7352941176470589,1
2020-04-18,1589,645,73,44.0,24.0,2.0,871,0.0284789644012945,0.01836198286892044,1.76,1
2020-04-19,1596,679,74,7.0,34.0,1.0,843,0.004405286343612335,0.017864680385747664,0.1590909090909091,1
2020-04-20,1615,713,77,19.0,34.0,3.0,825,0.011904761904761904,0.016823319282784917,2.7142857142857144,1
2020-04-21,1632,768,77,17.0,55.0,0.0,787,0.010526315789473684,0.014352539372039012,0.8947368421052632,1
2020-04-22,1642,816,77,10.0,48.0,0.0,749,0.006127450980392157,0.012288555883906916,0.5882352941176471,1
2020-04-23,1662,844,79,20.0,28.0,2.0,739,0.012180267965895249,0.009028816596827065,2.0,1
2020-04-24,1670,879,82,8.0,35.0,3.0,709,0.0048134777376654635,0.009110454875637691,0.4,1
2020-04-25,1684,902,84,14.0,23.0,2.0,698,0.008383233532934131,0.008406149201272136,1.75,1
2020-04-26,1688,910,84,4.0,8.0,0.0,694,0.0023752969121140144,0.0067759454258002035,0.2857142857142857,1
2020-04-27,1691,937,84,3.0,27.0,0.0,670,0.0017772511848341231,0.005905905466688596,0.75,1
2020-04-28,1696,951,84,5.0,14.0,0.0,661,0.0029568302779420462,0.0040612179290979555,1.6666666666666667,1
2020-04-29,1704,971,85,8.0,20.0,1.0,648,0.0047169811320754715,0.004041918607979957,1.6,1
2020-04-30,1713,1004,86,9.0,33.0,1.0,623,0.00528169014084507,0.003421609929562145,1.125,1
2020-05-01,1722,1023,87,9.0,19.0,1.0,612,0.005253940455341506,0.0039973386382076434,1.0,1
2020-05-02,1733,1030,87,11.0,7.0,0.0,616,0.006387921022067364,0.004919472605654291,1.2222222222222223,1
2020-05-03,1736,1042,88,3.0,12.0,1.0,606,0.0017311021350259665,0.0046743269770710754,0.2727272727272727,1
2020-05-04,1743,1068,89,7.0,26.0,1.0,586,0.004032258064516129,0.0045373823635592074,2.3333333333333335,1
2020-05-05,1756,1092,89,13.0,24.0,0.0,575,0.007458405048766495,0.004972725345143493,1.8571428571428572,1
2020-05-06,1765,1116,89,9.0,24.0,0.0,560,0.005125284738041002,0.004946994201683391,0.6923076923076923,1
