value,date
20,2020-01-27
28,2020-01-28
33,2020-01-29
34,2020-01-30
37,2020-01-31
38,2020-02-01
43,2020-02-02
48,2020-02-03
53,2020-02-04
53,2020-02-05
56,2020-02-06
62,2020-02-07
62,2020-02-08
64,2020-02-09
72,2020-02-10
74,2020-02-11
75,2020-02-12
76,2020-02-13
76,2020-02-14
77,2020-02-15
78,2020-02-16
80,2020-02-17
80,2020-02-18
82,2020-02-19
82,2020-02-20
82,2020-02-21
83,2020-02-22
86,2020-02-23
98,2020-02-24
112,2020-02-25
135,2020-02-26
170,2020-02-27
193,2020-02-28
200,2020-02-29
211,2020-03-01
262,2020-03-02
340,2020-03-03
407,2020-03-04
483,2020-03-05
594,2020-03-06
787,2020-03-07
928,2020-03-08
1193,2020-03-09
1358,2020-03-10
1816,2020-03-11
2353,2020-03-12
3094,2020-03-13
4065,2020-03-14
5068,2020-03-15
6302,2020-03-16
7664,2020-03-17
9402,2020-03-18
11619,2020-03-19
13704,2020-03-20
15584,2020-03-21
17377,2020-03-22
19624,2020-03-23
22600,2020-03-24
26698,2020-03-25
31127,2020-03-26
36374,2020-03-27
40700,2020-03-28
43498,2020-03-29
48811,2020-03-30
55017,2020-03-31
60990,2020-04-01
67281,2020-04-02
74170,2020-04-03
80304,2020-04-04
85014,2020-04-05
91247,2020-04-06
98681,2020-04-07
106845,2020-04-08
114854,2020-04-09
120285,2020-04-10
125126,2020-04-11
128359,2020-04-12
131542,2020-04-13
137672,2020-04-14
146004,2020-04-15
154307,2020-04-16
162533,2020-04-17
168096,2020-04-18
172123,2020-04-19
