datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body;podil_zachycen_hosp;podil_zachycen_hosp_body;podil_zachycen_hosp_roste;podil_zachycen_hosp_roste_body
2020-10-01;2020-09-30;52;278.110806500000;13;145.100228400000;10;1;2;1.017208158926;10;0.152991376122;15;1;2;;;;
2020-10-02;2020-10-01;52;281.645519000000;13;155.467881300000;10;1;2;1.061319810502;10;0.157642791306;15;1;2;;;;
2020-10-03;2020-10-02;52;297.420810000000;13;170.620604800000;10;1;2;1.094597243091;10;0.163742975812;15;1;2;;;;
2020-10-04;2020-10-03;52;302.180515500000;13;181.551207200000;10;1;2;1.146410850148;10;0.167606519320;15;1;2;;;;
2020-10-05;2020-10-04;57;310.185049600000;13;189.244850100000;10;1;2;1.215982574365;15;0.174919463021;15;1;2;;;;
2020-10-06;2020-10-05;57;325.548892600000;13;208.760432100000;10;1;2;1.286675375571;15;0.182729768839;15;1;2;;;;
2020-10-07;2020-10-06;62;344.915002700000;13;225.179791900000;10;1;2;1.395322519803;15;0.193681822148;20;1;2;;;;
2020-10-08;2020-10-07;70;373.248809400000;13;248.260720600000;13;1;2;1.468516860638;20;0.206975159616;20;1;2;;;;
2020-10-09;2020-10-08;70;396.514324600000;13;267.401002900000;13;1;2;1.529143582640;20;0.217161824365;20;1;2;;;;
2020-10-10;2020-10-09;80;449.553714400000;13;304.461843700000;13;1;2;1.753246753246;25;0.246125797629;25;1;2;;;;
2020-10-11;2020-10-10;80;474.380861900000;13;323.273738800000;13;1;2;1.695619066957;25;0.255370877230;25;1;2;;;;
2020-10-12;2020-10-11;78;491.212826200000;16;339.646186200000;13;1;2;1.561953681175;20;0.257689963278;25;1;2;;;;
2020-10-13;2020-10-12;78;519.490526300000;16;364.462875800000;13;1;2;1.457224141434;20;0.259487899490;25;1;2;;;;
2020-10-14;2020-10-13;83;578.972818100000;16;406.543349400000;13;1;2;1.499075367022;20;0.272309706787;30;1;2;;;;
2020-10-15;2020-10-14;83;640.867691500000;16;447.357186700000;13;1;2;1.402586206896;20;0.281935922778;30;1;2;;;;
2020-10-16;2020-10-15;86;699.050181600000;16;483.198303600000;16;1;2;1.444793724926;20;0.292512471133;30;1;2;;;;
2020-10-17;2020-10-16;86;767.397307900000;16;527.577487600000;16;1;2;1.463826227427;20;0.289994628141;30;1;2;;;;
2020-10-18;2020-10-17;86;824.990679200000;16;566.092614500000;16;1;2;1.528991772416;20;0.295879321045;30;1;2;;;;
2020-10-19;2020-10-18;86;855.091842200000;16;589.783405100000;16;1;2;1.429395030336;20;0.298207926720;30;1;2;;;;
2020-10-20;2020-10-19;81;901.454552900000;16;621.824613000000;16;1;2;1.378269480297;15;0.304845628662;30;1;2;;;;
