datum_zobrazeni;datum;kraj_kod;incidence14_100;incidence_65_14_100;simple_r;pozit_perc_test;podil_zachycen_hosp
2020-10-01;2020-09-30;CZ010;478.374237400000;202.654817900000;0.936309709647;0.147792233392;
2020-10-01;2020-09-30;CZ020;346.751702500000;193.100752400000;1.046374367622;0.169477637418;
2020-10-01;2020-09-30;CZ031;212.239726800000;106.954305400000;0.898236092265;0.156353330184;
2020-10-01;2020-09-30;CZ032;269.876707700000;157.907928800000;0.961259079903;0.165520116739;
2020-10-01;2020-09-30;CZ041;207.015448100000;187.776263700000;0.751445086705;0.121951219512;
2020-10-01;2020-09-30;CZ042;209.631348400000;122.580125900000;0.938189845474;0.172729120097;
2020-10-01;2020-09-30;CZ051;262.345331100000;74.522278800000;0.908937605396;0.162643331321;
2020-10-01;2020-09-30;CZ052;187.619981600000;101.334092600000;1.125523012552;0.122495446265;
2020-10-01;2020-09-30;CZ053;234.951077300000;142.338690600000;0.995176848874;0.141972477064;
2020-10-01;2020-09-30;CZ063;276.768148300000;145.746037500000;1.150724637681;0.206555671175;
2020-10-01;2020-09-30;CZ064;244.800916700000;145.838571700000;0.960444993819;0.185242579568;
2020-10-01;2020-09-30;CZ071;252.842100200000;131.362889900000;1.238750000000;0.223449830890;
2020-10-01;2020-09-30;CZ072;302.460711800000;167.299878800000;1.319640564826;0.193998867710;
2020-10-01;2020-09-30;CZ080;175.004727000000;95.088216100000;1.124756335282;0.095049831150;
2020-10-02;2020-10-01;CZ010;469.539227800000;207.432534600000;0.970187123374;0.151405662245;
2020-10-02;2020-10-01;CZ020;350.939001800000;207.954656500000;1.077020202020;0.169537564595;
2020-10-02;2020-10-01;CZ031;218.760625500000;108.471387800000;0.959610027855;0.161245026913;
2020-10-02;2020-10-01;CZ032;270.046228200000;142.033586700000;0.973778307508;0.172290172922;
2020-10-02;2020-10-01;CZ041;213.463470200000;204.393632200000;0.774774774774;0.126099706744;
2020-10-02;2020-10-01;CZ042;206.464343700000;141.771963800000;0.917109458023;0.180392976588;
2020-10-02;2020-10-01;CZ051;259.866122700000;81.195915700000;1.010889292196;0.168176328502;
2020-10-02;2020-10-01;CZ052;185.082126700000;101.334092600000;1.202959830866;0.124753343565;
2020-10-02;2020-10-01;CZ053;238.968970300000;148.937173000000;1.049600000000;0.154789995280;
2020-10-02;2020-10-01;CZ063;282.456508500000;160.128870100000;1.154711673699;0.215034049240;
2020-10-02;2020-10-01;CZ064;257.636605700000;166.792389500000;1.041611624834;0.190504952887;
2020-10-02;2020-10-01;CZ071;269.930302200000;149.692595500000;1.232987312572;0.239042933810;
2020-10-02;2020-10-01;CZ072;306.065521700000;181.310213500000;1.370646766169;0.199204627621;
2020-10-02;2020-10-01;CZ080;183.251023000000;107.129955200000;1.230320699708;0.101296207393;
2020-10-03;2020-10-02;CZ010;472.861795500000;215.395395800000;0.960741206030;0.148668351477;
2020-10-03;2020-10-02;CZ020;359.602379800000;225.153913800000;1.060569105691;0.169757303663;
2020-10-03;2020-10-02;CZ031;228.231454600000;119.090964200000;1.016643550624;0.164128974473;
2020-10-03;2020-10-02;CZ032;282.082186900000;155.401453700000;0.994068801897;0.166501092787;
2020-10-03;2020-10-02;CZ041;210.069774300000;206.055369000000;0.906976744186;0.139427987742;
2020-10-03;2020-10-02;CZ042;222.786598600000;160.344710100000;0.931382441977;0.193257956448;
2020-10-03;2020-10-02;CZ051;268.656043600000;93.430916700000;1.079279279279;0.184591679506;
2020-10-03;2020-10-02;CZ052;199.040328300000;119.758473100000;1.121157323688;0.129355309826;
2020-10-03;2020-10-02;CZ053;252.170618800000;154.593015000000;1.092621664050;0.161785216178;
2020-10-03;2020-10-02;CZ063;302.071543800000;186.976824400000;1.154891304347;0.217892847987;
2020-10-03;2020-10-02;CZ064;279.700567700000;183.136367400000;1.137931034482;0.206374022850;
2020-10-03;2020-10-02;CZ071;300.942224400000;159.621186000000;1.278422273781;0.253917050691;
2020-10-03;2020-10-02;CZ072;345.375114700000;210.979157500000;1.554854981084;0.223207820419;
2020-10-03;2020-10-02;CZ080;207.323543800000;124.984947800000;1.316831683168;0.114448877415;
2020-10-04;2020-10-03;CZ010;468.255508400000;209.423249900000;0.977863330125;0.147331786542;
2020-10-04;2020-10-03;CZ020;363.139925800000;236.098895700000;1.076673427991;0.171314226697;
2020-10-04;2020-10-03;CZ031;250.123043100000;136.537411200000;1.286743515850;0.197916666666;
2020-10-04;2020-10-03;CZ032;292.422940100000;159.578912100000;1.087116564417;0.172172561212;
2020-10-04;2020-10-03;CZ041;209.730404800000;217.687527000000;0.946843853820;0.153721682847;
2020-10-04;2020-10-03;CZ042;237.647159100000;186.965646600000;1.117256637168;0.209456656988;
2020-10-04;2020-10-03;CZ051;277.896729600000;115.676373100000;1.209219858156;0.193805058255;
2020-10-04;2020-10-03;CZ052;189.976561000000;119.758473100000;1.103646833013;0.120292887029;
2020-10-04;2020-10-03;CZ053;249.492023500000;167.789979700000;1.081210191082;0.163103531107;
2020-10-04;2020-10-03;CZ063;308.740655800000;199.441946000000;1.166216216216;0.223923196678;
2020-10-04;2020-10-03;CZ064;274.834750900000;198.223116200000;1.193766937669;0.210841210960;
2020-10-04;2020-10-03;CZ071;303.948482200000;161.912399200000;1.251781472684;0.244661095636;
2020-10-04;2020-10-03;CZ072;363.914136800000;224.165354900000;1.480314960629;0.232755571276;
2020-10-04;2020-10-03;CZ080;216.652686800000;141.594243200000;1.412398921832;0.118793924280;
2020-10-05;2020-10-04;CZ010;483.433601800000;220.969398700000;1.083136990912;0.159623015873;
2020-10-05;2020-10-04;CZ020;372.525251900000;241.180494400000;1.130179991628;0.182790603208;
2020-10-05;2020-10-04;CZ031;253.072973500000;141.088658200000;1.452076677316;0.189296126613;
2020-10-05;2020-10-04;CZ032;302.594172900000;164.591862300000;1.193916349809;0.184164222873;
2020-10-05;2020-10-04;CZ041;212.445361400000;216.025790100000;1.177536231884;0.175485961123;
2020-10-05;2020-10-04;CZ042;242.275858200000;188.822921200000;1.147126436781;0.213020277481;
2020-10-05;2020-10-04;CZ051;295.927336600000;130.135919700000;1.432892249527;0.208815426997;
2020-10-05;2020-10-04;CZ052;188.707633600000;119.758473100000;0.968253968253;0.112702078521;
2020-10-05;2020-10-04;CZ053;254.083901200000;173.445821700000;1.149750415973;0.166546155700;
2020-10-05;2020-10-04;CZ063;317.371271400000;207.112790100000;1.145454545454;0.229150428682;
2020-10-05;2020-10-04;CZ064;278.609953600000;205.766490600000;1.285815602836;0.213847605567;
2020-10-05;2020-10-04;CZ071;303.315585800000;164.203612400000;1.141774891774;0.250059255747;
2020-10-05;2020-10-04;CZ072;367.690604300000;226.637766900000;1.414046121593;0.235633187772;
2020-10-05;2020-10-04;CZ080;232.978687000000;165.262489100000;1.635305528612;0.126852757505;
2020-10-06;2020-10-05;CZ010;494.609511400000;236.098835000000;1.144714904968;0.165613391866;
2020-10-06;2020-10-05;CZ020;382.993500300000;261.897781600000;1.144238517324;0.185705878506;
2020-10-06;2020-10-05;CZ031;257.109720300000;152.466775800000;1.453172205438;0.183622828784;
2020-10-06;2020-10-05;CZ032;334.124994200000;181.301696000000;1.455919395465;0.204782993799;
2020-10-06;2020-10-05;CZ041;216.857166100000;227.657948000000;1.300000000000;0.182112068965;
2020-10-06;2020-10-05;CZ042;243.981168500000;191.299287400000;1.292941176470;0.218402225755;
2020-10-06;2020-10-05;CZ051;306.069553000000;145.707739100000;1.473098330241;0.201369515597;
2020-10-06;2020-10-05;CZ052;232.576267000000;163.307008800000;1.416356877323;0.160454832596;
2020-10-06;2020-10-05;CZ053;269.390160300000;190.413347700000;1.260096930533;0.178653229500;
2020-10-06;2020-10-05;CZ063;326.198037300000;234.919599900000;1.162468513853;0.242003146303;
2020-10-06;2020-10-05;CZ064;288.257693600000;222.110468500000;1.261261261261;0.215313632868;
2020-10-06;2020-10-05;CZ071;331.637698400000;194.753121700000;1.265388496468;0.261195584253;
2020-10-06;2020-10-05;CZ072;398.074001500000;248.065337600000;1.391050583657;0.253276656039;
2020-10-06;2020-10-05;CZ080;252.053452600000;190.176432200000;1.657712305025;0.132607791487;
2020-10-07;2020-10-06;CZ010;517.791972500000;254.413415800000;1.270349787512;0.180676957411;
2020-10-07;2020-10-06;CZ020;398.804165000000;278.315254500000;1.225087924970;0.195570804741;
2020-10-07;2020-10-06;CZ031;286.919542900000;175.981552200000;1.773584905660;0.203870537203;
2020-10-07;2020-10-06;CZ032;343.618144800000;184.643662700000;1.515299877600;0.201333550170;
2020-10-07;2020-10-06;CZ041;222.965818600000;247.598790200000;1.476744186046;0.191553544494;
2020-10-07;2020-10-06;CZ042;251.533256500000;195.013836600000;1.384704519119;0.222781506338;
2020-10-07;2020-10-06;CZ051;343.708445000000;170.177741100000;1.788150807899;0.226930963773;
2020-10-07;2020-10-06;CZ052;253.785482300000;185.081276600000;1.574692442882;0.177005136309;
2020-10-07;2020-10-06;CZ053;265.563595500000;190.413347700000;1.199695121951;0.162704155468;
2020-10-07;2020-10-06;CZ063;348.166876800000;260.808698700000;1.224116930572;0.237364194615;
2020-10-07;2020-10-06;CZ064;311.999523400000;240.130751800000;1.464172479391;0.238582351725;
2020-10-07;2020-10-06;CZ071;356.004208700000;206.972925400000;1.240411599625;0.263513513513;
2020-10-07;2020-10-06;CZ072;430.345632600000;266.196358900000;1.409255898366;0.255974946431;
2020-10-07;2020-10-06;CZ080;270.045371200000;212.183748600000;1.746445497630;0.148618673119;
2020-10-08;2020-10-07;CZ010;544.297001300000;275.116854900000;1.375939849624;0.191631761063;
2020-10-08;2020-10-07;CZ020;435.334742000000;298.641649500000;1.359908010732;0.215173752198;
2020-10-08;2020-10-07;CZ031;318.281960500000;195.703622700000;1.893587994542;0.218823900362;
2020-10-08;2020-10-07;CZ032;366.503418300000;198.847021400000;1.632458233890;0.214857860844;
2020-10-08;2020-10-07;CZ041;244.006733000000;269.201369200000;1.681318681318;0.211228716060;
2020-10-08;2020-10-07;CZ042;272.362402700000;214.205674500000;1.501625135427;0.246970776906;
2020-10-08;2020-10-07;CZ051;363.992877900000;196.872288800000;1.796327212020;0.236379613356;
2020-10-08;2020-10-07;CZ052;271.006640100000;194.293466800000;1.543548387096;0.192671632776;
2020-10-08;2020-10-07;CZ053;282.209152300000;198.897110800000;1.229885057471;0.179229480737;
2020-10-08;2020-10-07;CZ063;369.351115000000;272.314964800000;1.281176470588;0.244664120422;
2020-10-08;2020-10-07;CZ064;342.285037800000;275.333165700000;1.472027972027;0.246751978118;
2020-10-08;2020-10-07;CZ071;385.908562200000;234.467483800000;1.313974591651;0.258386866523;
2020-10-08;2020-10-07;CZ072;472.230089800000;295.865302900000;1.397404703974;0.265444461562;
2020-10-08;2020-10-07;CZ080;304.279994200000;249.554663200000;1.708133971291;0.161569793754;
2020-10-09;2020-10-08;CZ010;552.829959200000;293.829578800000;1.398293963254;0.195388071333;
2020-10-09;2020-10-08;CZ020;448.835172700000;307.241278200000;1.378296910324;0.222600864114;
2020-10-09;2020-10-08;CZ031;358.959947700000;219.218399100000;1.817469204927;0.250540290213;
2020-10-09;2020-10-08;CZ032;393.965746600000;210.543905000000;1.700902934537;0.221422274463;
2020-10-09;2020-10-08;CZ041;242.988624300000;270.863106100000;1.607017543859;0.216753431140;
2020-10-09;2020-10-08;CZ042;293.800588300000;221.634773100000;1.533663366336;0.257908757908;
2020-10-09;2020-10-08;CZ051;389.235727600000;218.005472300000;1.715542521994;0.239263803680;
2020-10-09;2020-10-08;CZ052;297.291565000000;201.830713400000;1.862608695652;0.204428326016;
2020-10-09;2020-10-08;CZ053;316.074250600000;219.635198100000;1.466863033873;0.196140212682;
