zacatek_14_dni;zacatek_tyden;datum_zobrazeni;datum;kraj_kod;kraj;okres_kod;okres;incidence14_100;incidence_65_14_100
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ010;Hl. m. Praha;CZ0100;Praha;478.374237400000;202.654817900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0201;Benešov;397.328344000000;322.833105000000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0202;Beroun;344.000504900000;91.454701300000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0203;Kladno;279.307797100000;146.829115900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0204;Kolín;311.820936800000;193.557992900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0205;Kutná Hora;208.366302600000;119.384228700000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0206;Mělník;344.915921000000;117.353674600000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0207;Mladá Boleslav;307.597898200000;204.243257800000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0208;Nymburk;373.689114400000;417.834664400000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0209;Praha-východ;433.096804100000;125.935521000000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020A;Praha-západ;462.708754600000;303.431770500000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020B;Příbram;334.480122300000;160.683326900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020C;Rakovník;190.777869700000;94.639938000000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0311;České Budějovice;266.968857000000;128.899878900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0312;Český Krumlov;154.331015600000;61.398122900000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0313;Jindřichův Hradec;125.700172000000;55.942633300000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0314;Písek;212.329054100000;76.185639000000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0315;Prachatice;174.585115100000;99.127676400000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0316;Strakonice;154.015712400000;81.092039400000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0317;Tábor;276.816608900000;180.856354800000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ032;Plzeňský kraj;CZ0321;Domažlice;148.238857900000;40.332338400000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ032;Plzeňský kraj;CZ0322;Klatovy;140.038192200000;94.946724300000
2020-09-17;2020-09-24;2020-10-01;2020-09-30;CZ032;Plzeňský kraj;CZ0323;Plzeň-město;414.865143000000;250.086663600000
