date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-03-01,2,0,0,,,,2,,,,1
2020-03-02,2,0,0,0.0,0.0,0.0,2,0.0,,,1
2020-03-03,2,0,0,0.0,0.0,0.0,2,0.0,,,1
2020-03-04,2,0,0,0.0,0.0,0.0,2,0.0,,,1
2020-03-05,2,0,0,0.0,0.0,0.0,2,0.0,,,1
2020-03-06,10,0,0,8.0,0.0,0.0,10,4.0,0.8,inf,1
2020-03-07,14,0,0,4.0,0.0,0.0,14,0.4,0.8800000000000001,0.5,1
2020-03-08,14,0,0,0.0,0.0,0.0,14,0.0,0.8800000000000001,0.0,1
2020-03-09,18,0,0,4.0,0.0,0.0,18,0.2857142857142857,0.9371428571428572,inf,1
2020-03-10,30,0,0,12.0,0.0,0.0,30,0.6666666666666666,1.0704761904761906,3.0,1
2020-03-11,36,0,0,6.0,0.0,0.0,36,0.2,0.31047619047619046,0.5,1
2020-03-12,48,0,0,12.0,0.0,0.0,48,0.3333333333333333,0.29714285714285715,2.0,1
2020-03-13,55,0,0,7.0,0.0,0.0,55,0.14583333333333334,0.32630952380952377,0.5833333333333334,1
2020-03-14,70,0,0,15.0,0.0,0.0,70,0.2727272727272727,0.32371212121212123,2.142857142857143,1
2020-03-15,109,0,0,39.0,0.0,0.0,109,0.5571428571428572,0.3018073593073593,2.6,1
2020-03-16,129,0,0,20.0,0.0,0.0,129,0.1834862385321101,0.2985046070137813,0.5128205128205128,1
2020-03-17,149,0,0,20.0,0.0,0.0,149,0.15503875968992248,0.26284569228509913,1.0,1
2020-03-18,181,0,0,32.0,0.0,0.0,181,0.21476510067114093,0.27663204575266065,1.6,1
2020-03-19,259,0,0,78.0,0.0,0.0,259,0.430939226519337,0.30827443651107356,2.4375,1
2020-03-20,292,2,0,33.0,2.0,0.0,290,0.1274131274131274,0.22232849056512757,0.4230769230769231,1
2020-03-21,352,3,0,60.0,1.0,0.0,349,0.2054794520547945,0.22672713326966448,1.8181818181818181,1
2020-03-22,378,3,1,26.0,0.0,1.0,374,0.07386363636363637,0.21049210860440723,0.43333333333333335,1
2020-03-23,416,4,1,38.0,1.0,0.0,411,0.10052910052910052,0.18764490857599916,1.4615384615384615,1
2020-03-24,474,5,2,58.0,1.0,1.0,467,0.13942307692307693,0.12934167865674712,1.5263157894736843,1
2020-03-25,555,7,6,81.0,2.0,4.0,542,0.17088607594936708,0.13803626836399507,1.396551724137931,1
2020-03-26,623,9,6,68.0,2.0,0.0,608,0.12252252252252252,0.12144488245754068,0.8395061728395061,1
2020-03-27,731,12,8,108.0,3.0,2.0,711,0.17335473515248795,0.14134310221531102,1.588235294117647,1
2020-03-28,787,13,11,56.0,1.0,3.0,763,0.07660738714090287,0.13655875953767146,0.5185185185185185,1
2020-03-29,819,14,13,32.0,1.0,2.0,792,0.04066073697585769,0.11680629154822764,0.5714285714285714,1
2020-03-30,856,21,17,37.0,7.0,4.0,818,0.045177045177045176,0.09166448539376323,1.15625,1
2020-03-31,913,23,20,57.0,2.0,3.0,870,0.06658878504672897,0.08047773789860453,1.5405405405405406,1
2020-04-01,990,31,23,77.0,8.0,3.0,936,0.08433734939759036,0.06267426074762501,1.3508771929824561,1
2020-04-02,1072,40,25,82.0,9.0,2.0,1007,0.08282828282828283,0.06391843988510101,1.0649350649350648,1
2020-04-03,1132,56,29,60.0,16.0,4.0,1047,0.055970149253731345,0.06698032234067573,0.7317073170731707,1
2020-04-04,1159,74,34,27.0,18.0,5.0,1051,0.023851590106007067,0.06271523132646811,0.45,1
2020-04-05,1197,81,37,38.0,7.0,3.0,1079,0.03278688524590164,0.05595485136630265,1.4074074074074074,1
2020-04-06,1231,114,40,34.0,33.0,3.0,1077,0.028404344193817876,0.04476825032554815,0.8947368421052632,1
2020-04-07,1264,144,43,33.0,30.0,3.0,1077,0.026807473598700244,0.03356408847963163,0.9705882352941176,1
2020-04-08,1319,176,49,55.0,32.0,6.0,1094,0.043512658227848104,0.031072590274454987,1.6666666666666667,1
2020-04-09,1359,230,50,40.0,54.0,1.0,1079,0.030326004548900682,0.03236747316303371,0.7272727272727273,1
2020-04-10,1393,259,56,34.0,29.0,6.0,1078,0.025018395879323033,0.030813775289717987,0.85,1
2020-04-11,1411,295,61,18.0,36.0,5.0,1055,0.012921751615218953,0.027717256773998205,0.5294117647058824,1
2020-04-12,1428,324,64,17.0,29.0,3.0,1040,0.012048192771084338,0.02476540060847502,0.9444444444444444,1
2020-04-13,1438,351,68,10.0,27.0,4.0,1019,0.0070028011204481795,0.017463429186995037,0.5882352941176471,1
2020-04-14,1451,414,70,13.0,63.0,2.0,967,0.009040333796940195,0.01320629503660294,1.3,1
2020-04-15,1488,475,70,37.0,61.0,0.0,943,0.025499655410062026,0.01330254694275074,2.8461538461538463,1
2020-04-16,1509,555,70,21.0,80.0,0.0,884,0.014112903225806451,0.013540777264868237,0.5675675675675675,1
2020-04-17,1531,631,71,22.0,76.0,1.0,829,0.0145791915175613,0.01404697701416363,1.0476190476190477,1
2020-04-18,1559,656,73,28.0,25.0,2.0,830,0.018288700195950358,0.016304156829264067,1.2727272727272727,1
2020-04-19,1574,690,74,15.0,34.0,1.0,810,0.009621552277100705,0.01642040052529617,0.5357142857142857,1
2020-04-20,1615,725,77,41.0,35.0,3.0,813,0.026048284625158832,0.01653012636831553,2.7333333333333334,1
2020-04-21,1624,780,77,9.0,55.0,0.0,767,0.005572755417956657,0.014822096806745571,0.21951219512195122,1
